endpoint,n1,n2,n3,n4,support_size,equations,forced_equal_block,disposition
B,2,4,0,2,3,0,0,opposite_pair_gives_length_at_most_14
B,2,4,1,1,4,0,0,opposite_pair_gives_length_at_most_14
B,2,4,2,0,3,0,0,opposite_pair_gives_length_at_most_14
B,2,5,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,2,5,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,2,6,0,0,2,36,0,inconsistent_with_C_nonzero
B,3,0,0,5,2,0,0,opposite_pair_gives_length_at_most_14
B,3,0,1,4,3,0,0,opposite_pair_gives_length_at_most_14
B,3,0,2,3,3,0,0,opposite_pair_gives_length_at_most_14
B,3,0,3,2,3,0,0,opposite_pair_gives_length_at_most_14
B,3,0,4,1,3,0,0,opposite_pair_gives_length_at_most_14
B,3,0,5,0,2,46,0,inconsistent_with_C_nonzero
B,3,1,0,4,3,0,0,opposite_pair_gives_length_at_most_14
B,3,1,1,3,4,0,0,opposite_pair_gives_length_at_most_14
B,3,1,2,2,4,0,0,opposite_pair_gives_length_at_most_14
B,3,1,3,1,4,0,0,opposite_pair_gives_length_at_most_14
B,3,1,4,0,3,0,0,opposite_pair_gives_length_at_most_14
B,3,2,0,3,3,0,0,opposite_pair_gives_length_at_most_14
B,3,2,1,2,4,0,0,opposite_pair_gives_length_at_most_14
B,3,2,2,1,4,0,0,opposite_pair_gives_length_at_most_14
B,3,2,3,0,3,0,0,opposite_pair_gives_length_at_most_14
B,3,3,0,2,3,0,0,opposite_pair_gives_length_at_most_14
B,3,3,1,1,4,0,0,opposite_pair_gives_length_at_most_14
B,3,3,2,0,3,0,0,opposite_pair_gives_length_at_most_14
B,3,4,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,3,4,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,3,5,0,0,2,36,0,inconsistent_with_C_nonzero
B,4,0,0,4,2,0,0,opposite_pair_gives_length_at_most_14
B,4,0,1,3,3,0,0,opposite_pair_gives_length_at_most_14
B,4,0,2,2,3,0,0,opposite_pair_gives_length_at_most_14
B,4,0,3,1,3,0,0,opposite_pair_gives_length_at_most_14
B,4,0,4,0,2,40,0,inconsistent_with_C_nonzero
B,4,1,0,3,3,0,0,opposite_pair_gives_length_at_most_14
B,4,1,1,2,4,0,0,opposite_pair_gives_length_at_most_14
B,4,1,2,1,4,0,0,opposite_pair_gives_length_at_most_14
B,4,1,3,0,3,0,0,opposite_pair_gives_length_at_most_14
B,4,2,0,2,3,0,0,opposite_pair_gives_length_at_most_14
B,4,2,1,1,4,0,0,opposite_pair_gives_length_at_most_14
B,4,2,2,0,3,0,0,opposite_pair_gives_length_at_most_14
B,4,3,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,4,3,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,4,4,0,0,2,40,0,inconsistent_with_C_nonzero
B,5,0,0,3,2,0,0,opposite_pair_gives_length_at_most_14
B,5,0,1,2,3,0,0,opposite_pair_gives_length_at_most_14
B,5,0,2,1,3,0,0,opposite_pair_gives_length_at_most_14
B,5,0,3,0,2,36,0,inconsistent_with_C_nonzero
B,5,1,0,2,3,0,0,opposite_pair_gives_length_at_most_14
B,5,1,1,1,4,0,0,opposite_pair_gives_length_at_most_14
B,5,1,2,0,3,0,0,opposite_pair_gives_length_at_most_14
B,5,2,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,5,2,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,5,3,0,0,2,46,0,inconsistent_with_C_nonzero
B,6,0,0,2,2,0,0,opposite_pair_gives_length_at_most_14
B,6,0,1,1,3,0,0,opposite_pair_gives_length_at_most_14
B,6,0,2,0,2,36,0,inconsistent_with_C_nonzero
B,6,1,0,1,3,0,0,opposite_pair_gives_length_at_most_14
B,6,1,1,0,3,0,0,opposite_pair_gives_length_at_most_14
B,6,2,0,0,2,52,0,inconsistent_with_C_nonzero
B,7,0,0,1,2,0,0,opposite_pair_gives_length_at_most_14
B,7,0,1,0,2,42,0,inconsistent_with_C_nonzero
B,7,1,0,0,2,56,0,inconsistent_with_C_nonzero
B,8,0,0,0,1,56,0,inconsistent_with_C_nonzero
